dataset,sheets_strategy,task,total_columns,total_dimensions,total_interactions,total_measures,total_minutes,total_new_columns,total_new_columns_prompt_only,total_sheets,userid
birdstrikes1,,t3,3,3,37,0,5.68415,0,0,2,77
birdstrikes1,,t3,7,4,27,3,5.917599999999999,1,3,2,61
birdstrikes1,,t3,5,3,40,2,6.826366666666667,0,1,1,109
birdstrikes1,,t3,5,4,19,1,6.147900000000001,1,1,2,73
birdstrikes1,,t3,4,3,10,1,4.0218,0,0,1,81
birdstrikes1,,t3,4,3,23,1,3.481333333333333,0,0,1,97
birdstrikes1,,t3,4,3,13,1,7.148916666666667,1,1,2,85
birdstrikes1,,t1,56,15,42,41,5.449683333333334,51,51,1,25
birdstrikes1,,t1,13,1,22,12,4.2368,9,9,1,13
birdstrikes1,,t1,5,0,11,5,1.2949833333333334,0,0,1,01
birdstrikes1,,t1,5,0,25,5,9.259483333333332,0,0,1,05
birdstrikes1,,t1,4,0,16,4,1.7523833333333334,0,0,1,33
birdstrikes1,,t1,5,0,18,5,2.8974166666666665,1,1,1,57
birdstrikes1,,t1,5,0,24,5,4.055233333333333,1,1,4,09
birdstrikes1,,t1,5,1,9,4,1.8328833333333334,1,1,1,37
birdstrikes1,,t1,4,0,2,4,1.4644333333333333,0,0,1,29
birdstrikes1,,t1,5,0,27,5,3.2815166666666666,0,0,5,53
birdstrikes1,,t1,4,0,13,4,3.271183333333333,0,0,1,77
birdstrikes1,,t1,5,0,57,5,7.59765,1,1,1,61
birdstrikes1,,t1,5,0,17,5,3.67815,1,1,1,109
birdstrikes1,,t1,9,0,15,9,1.55875,5,5,1,73
birdstrikes1,,t1,6,1,17,5,7.0694,2,2,1,81
birdstrikes1,,t1,4,0,5,4,0.5498833333333334,0,0,1,97
birdstrikes1,,t1,4,0,2,4,1.22935,0,0,1,85
faa1,,t4,3,2,15,1,6.329766666666667,0,1,1,13
faa1,,t4,4,4,11,0,6.900366666666667,3,3,1,45
faa1,,t4,3,2,36,1,5.923649999999999,0,0,1,21
faa1,,t4,8,5,30,3,5.9821333333333335,4,6,2,33
faa1,,t4,11,8,33,3,11.7606,4,7,3,57
faa1,,t4,7,3,40,4,8.405816666666666,1,3,4,09
faa1,,t4,11,5,43,6,10.707416666666667,5,9,2,37
faa1,,t4,5,2,12,3,7.540283333333333,2,2,1,41
faa1,,t4,7,6,33,1,11.867883333333333,4,4,2,109
faa1,,t4,5,4,38,1,9.53695,0,1,2,89
faa1,,t4,2,2,7,0,4.57775,0,0,1,65
faa1,,t4,6,5,43,1,19.951283333333333,3,4,3,69
faa1,,t4,5,4,28,1,6.464166666666667,3,3,2,93
faa1,,t4,26,7,28,19,10.272400000000001,3,22,2,81
faa1,,t4,6,5,7,1,8.039116666666667,2,3,1,85
faa1,,t2,3,2,11,1,5.103133333333333,0,0,2,13
faa1,,t2,3,2,17,1,2.9614333333333334,0,0,1,45
faa1,,t2,3,2,30,1,4.112983333333333,0,0,1,21
faa1,,t2,3,2,22,1,4.51325,0,0,1,33
faa1,,t2,3,2,18,1,6.153333333333333,0,0,1,57
faa1,,t2,3,2,32,1,6.29845,1,1,1,09
faa1,,t2,3,2,13,1,2.5765333333333333,0,0,1,37
faa1,,t2,3,2,12,1,5.214166666666667,0,0,1,41
faa1,,t2,3,2,14,1,5.609033333333333,0,0,1,109
faa1,,t2,3,2,7,1,1.1474833333333334,0,0,1,89
faa1,,t2,3,2,5,1,1.1721499999999998,0,0,1,65
faa1,,t2,3,2,35,1,6.2034,0,0,1,69
faa1,,t2,3,2,20,1,3.414266666666667,0,0,2,93
faa1,,t2,3,2,4,1,0.5518666666666667,1,1,1,81
faa1,,t2,3,2,10,1,4.5328,0,0,1,85
faa1,,t3,3,1,10,2,3.9083166666666664,0,0,2,13
faa1,,t3,2,1,6,1,0.93745,0,0,1,45
faa1,,t3,2,1,10,1,5.9239500000000005,0,0,1,21
faa1,,t3,3,1,10,2,1.7436,0,0,1,33
faa1,,t3,3,2,13,1,2.65565,0,1,2,57
faa1,,t3,2,1,9,1,1.8118833333333333,0,0,1,09
faa1,,t3,7,6,23,1,3.859766666666667,3,5,1,37
faa1,,t3,3,2,12,1,2.2177166666666666,1,1,1,41
faa1,,t3,5,3,27,2,6.232200000000001,0,2,2,109
faa1,,t3,3,1,15,2,6.574366666666666,0,0,1,89
faa1,,t3,3,2,6,1,0.8684999999999999,0,1,1,65
faa1,,t3,5,3,34,2,6.865783333333334,0,2,1,69
faa1,,t3,4,2,11,2,2.967433333333333,0,2,2,93
faa1,,t3,2,1,24,1,5.93055,0,0,1,81
faa1,,t3,2,1,20,1,5.449583333333334,0,0,2,85
faa1,,t1,4,0,14,4,5.186383333333334,0,0,6,13
faa1,,t1,4,0,16,4,6.7201,0,0,1,45
faa1,,t1,5,1,13,4,5.361816666666667,2,2,2,21
faa1,,t1,20,1,22,19,3.5300166666666666,15,15,1,33
faa1,,t1,4,0,19,4,3.713716666666667,0,0,1,57
faa1,,t1,4,0,19,4,2.1880499999999996,0,0,1,09
faa1,,t1,7,3,23,4,5.123216666666666,3,3,1,37
faa1,,t1,4,0,20,4,6.465116666666666,0,0,1,41
faa1,,t1,4,1,22,3,5.3753166666666665,1,1,3,109
faa1,,t1,3,0,26,3,7.7312666666666665,0,0,3,89
faa1,,t1,4,0,21,4,4.926266666666667,0,0,1,65
faa1,,t1,9,2,27,7,6.517266666666667,4,4,2,69
faa1,,t1,6,0,27,6,6.453283333333333,1,1,1,93
faa1,,t1,21,2,19,19,6.266416666666667,16,16,1,81
faa1,,t1,4,0,7,4,5.888966666666667,0,0,1,85
weather1,,t4,34,7,34,27,9.488983333333334,21,28,2,25
weather1,,t4,12,4,47,8,9.143966666666667,6,8,2,01
weather1,,t4,25,5,43,20,7.0253,13,20,2,21
weather1,,t4,26,7,37,19,6.771816666666667,0,19,2,05
weather1,,t4,12,7,40,5,9.737633333333333,3,6,1,45
weather1,,t4,4,3,27,1,8.049866666666667,1,1,1,29
weather1,,t4,8,4,36,4,8.748066666666666,2,3,3,53
weather1,,t4,8,6,40,2,8.13875,0,2,3,41
weather1,,t4,30,2,17,28,5.918983333333333,21,28,1,77
weather1,,t4,27,2,30,25,10.203783333333332,19,24,1,117
weather1,,t4,9,2,34,7,9.338633333333332,3,7,1,73
weather1,,t4,12,3,24,9,8.250283333333334,8,9,1,65
weather1,,t4,31,6,23,25,8.20275,19,26,1,113
weather1,,t4,9,4,41,5,5.850499999999999,0,5,2,69
weather1,,t4,6,5,22,1,5.299316666666667,1,1,2,93
weather1,,t4,10,4,31,6,8.12685,3,6,1,97
weather1,,t2,3,1,7,2,1.1465333333333334,0,0,1,25
weather1,,t2,4,2,25,2,4.3430333333333335,1,1,1,01
weather1,,t2,3,1,16,2,4.9923,0,0,1,21
weather1,,t2,5,1,28,4,4.916250000000001,0,0,1,05
weather1,,t2,3,1,8,2,1.2788166666666667,0,0,1,45
weather1,,t2,3,1,11,2,1.86905,0,0,1,29
weather1,,t2,4,1,30,3,5.8025166666666665,0,0,2,53
weather1,,t2,23,4,18,19,2.5068333333333332,14,19,1,41
weather1,,t2,3,1,15,2,2.7628833333333334,0,0,1,77
weather1,,t2,5,1,21,4,6.520300000000001,0,0,2,117
weather1,,t2,5,1,28,4,6.332816666666667,0,0,1,73
weather1,,t2,3,1,7,2,1.8760333333333332,0,0,1,65
weather1,,t2,4,1,22,3,8.022416666666667,0,0,1,113
weather1,,t2,3,1,23,2,5.854633333333334,0,0,1,69
weather1,,t2,5,3,16,2,6.790583333333333,1,2,1,93
weather1,,t2,3,1,15,2,6.435266666666666,0,0,1,97
weather1,,t3,3,2,13,1,4.2149,0,1,1,25
weather1,,t3,5,5,13,0,5.686966666666667,0,0,2,01
weather1,,t3,2,1,4,1,5.20895,0,0,1,21
weather1,,t3,4,3,16,1,5.7001,0,0,1,05
weather1,,t3,4,3,3,1,2.178533333333333,0,0,1,45
weather1,,t3,3,2,23,1,6.5168,0,0,1,29
weather1,,t3,4,2,25,2,6.366516666666667,0,0,2,53
weather1,,t3,4,3,15,1,2.62715,0,0,2,41
weather1,,t3,4,3,18,1,3.3405,0,0,2,77
weather1,,t3,7,6,28,1,6.875183333333334,0,1,1,117
weather1,,t3,4,2,20,2,5.559749999999999,1,1,1,73
weather1,,t3,2,1,6,1,6.77955,0,0,1,65
weather1,,t3,4,3,23,1,5.975066666666667,0,0,1,113
weather1,,t3,4,3,20,1,7.19275,0,0,1,69
weather1,,t3,4,3,16,1,4.025049999999999,0,0,2,93
weather1,,t3,3,2,32,1,6.794616666666667,0,0,1,97
weather1,,t1,5,0,13,5,2.639933333333333,0,0,1,25
weather1,,t1,2,0,17,2,5.658366666666667,0,0,1,01
weather1,,t1,5,0,12,5,1.4826000000000001,1,1,1,21
weather1,,t1,21,2,37,19,5.563999999999999,16,16,1,05
weather1,,t1,6,1,16,5,5.5776,2,2,1,45
weather1,,t1,4,0,3,4,1.27545,0,0,1,29
weather1,,t1,5,0,32,5,3.59295,0,0,4,53
weather1,,t1,9,1,28,8,6.723983333333334,4,4,2,41
weather1,,t1,4,0,2,4,0.6401666666666667,0,0,1,77
weather1,,t1,5,0,25,5,5.090616666666667,0,0,1,117
weather1,,t1,9,0,21,9,4.85285,5,5,1,73
weather1,,t1,6,2,9,4,3.857466666666667,2,2,2,65
weather1,,t1,4,0,13,4,6.934166666666667,0,0,1,113
weather1,,t1,7,1,19,6,4.380333333333334,3,3,2,69
weather1,,t1,7,3,16,4,4.48455,3,3,2,93
weather1,,t1,4,0,9,4,2.340233333333333,0,0,1,97
